,TITLE,YEAR,AUTHOR,CLASSIFIED_AUTHORS
103,Multi-GPU Strategies to Element-by-Element Finite Element Method Realization,2020,"['GABRIEL FELIPE PAIVA PEREIRA', 'AMORIM, LUCAS P. ', 'THIAGO GOVEIA', 'IGOR ALMEIDA BARATTA', 'VINICIUS SILVA NOGUEIRA', 'RENATO CARDOSO MESQUITA']","['GABRIEL FELIPE PAIVA PEREIRA (externo)', 'AMORIM, LUCAS P.  (egresso(s/o))', 'THIAGO GOVEIA (externo)', 'IGOR ALMEIDA BARATTA (discente(s/o))', 'VINICIUS SILVA NOGUEIRA (externo)', 'RENATO CARDOSO MESQUITA (docente)']"
104,Estratégias para realização de competições locais de robótica,2020,"['ITALO JOSE DIAS', 'JOSE VITOR COSTA CRUZ', 'SARAH CARINE DE OLIVEIRA', 'TIAGO MENEZES BONFIM', 'THAIS AVILA MORATO', 'VINICIUS BATISTA FETTER', 'LUCIANA PEDROSA SALLES']","['ITALO JOSE DIAS (externo)', 'JOSE VITOR COSTA CRUZ (externo)', 'SARAH CARINE DE OLIVEIRA (externo)', 'TIAGO MENEZES BONFIM (externo)', 'THAIS AVILA MORATO (externo)', 'VINICIUS BATISTA FETTER (externo)', 'LUCIANA PEDROSA SALLES (docente)']"
105,ROSI: a mobile robot for inspection of belt conveyor,2020,"['HENRIQUE DUARTE FARIA', 'GUSTAVO MEDEIROS FREITAS', 'GUSTAVO PESSIN', 'FERNANDO CESAR LIZARRALDE', 'RAMON COSTA', 'RICARDO HALFELD ROSADAS DE ANDRADE', 'THALES HENRIQUE DA SILVA', 'RAPHAEL PEREIRA DE FIGUEIREDO DA SILVA', 'EVELYN SOARES BARBOSA', 'FILIPE AUGUSTO SANTOS ROCHA', 'ANDRE FRANCA']","['HENRIQUE DUARTE FARIA (externo)', 'GUSTAVO MEDEIROS FREITAS (docente)', 'GUSTAVO PESSIN (externo)', 'FERNANDO CESAR LIZARRALDE (externo)', 'RAMON COSTA (externo)', 'RICARDO HALFELD ROSADAS DE ANDRADE (externo)', 'THALES HENRIQUE DA SILVA (egresso(s/o))', 'RAPHAEL PEREIRA DE FIGUEIREDO DA SILVA (externo)', 'EVELYN SOARES BARBOSA (externo)', 'FILIPE AUGUSTO SANTOS ROCHA (externo)', 'ANDRE FRANCA (externo)']"
106,Indoor Localization and Navigation Control Strategies for a Mobile Robot Designed to Inspect Confined Environments,2020,"['REZENDE, ADRIANO M.  C. ', 'JUNIOR, GILMAR P.  C. ', 'FERNANDES, RAFAEL', 'MIRANDA, VICTOR R.  F. ', 'AZPURUA, HECTOR', 'PESSIN, GUSTAVO', 'GUSTAVO MEDEIROS FREITAS']","['REZENDE, ADRIANO M.  C.  (egresso(s/o))', 'JUNIOR, GILMAR P.  C.  (externo)', 'FERNANDES, RAFAEL (externo)', 'MIRANDA, VICTOR R.  F.  (egresso(s/o))', 'AZPURUA, HECTOR (externo)', 'PESSIN, GUSTAVO (externo)', 'GUSTAVO MEDEIROS FREITAS (docente)']"
107,On the Evaluation of Force Feedback Augmented Teleoperation of Excavator-like Mobile Manipulators,2020,"['CARVALHO, LUCAS', 'CAMPOS, MARIO F.  M. ', 'REZECK, PAULO', 'LIMA, MATHEUS V. ', 'PINTO, LUAN', 'GUSTAVO MEDEIROS FREITAS', 'NASCIMENTO, ERICKSON R. ', 'MACHARET, DOUGLAS G. ', 'CHAIMOWICZ, LUIZ', 'PESSIN, GUSTAVO']","['CARVALHO, LUCAS (egresso(s/o))', 'CAMPOS, MARIO F.  M.  (externo)', 'REZECK, PAULO (externo)', 'LIMA, MATHEUS V.  (egresso(s/o))', 'PINTO, LUAN (externo)', 'GUSTAVO MEDEIROS FREITAS (docente)', 'NASCIMENTO, ERICKSON R.  (externo)', 'MACHARET, DOUGLAS G.  (externo)', 'CHAIMOWICZ, LUIZ (externo)', 'PESSIN, GUSTAVO (externo)']"
108,Investigation of Visual Reconstruction Techniques Using Mobile Robots in Confined Environments,2020,"['FERNANDES, RAFAEL', 'ROCHA, THIAGO LAGES', 'AZPURUA, HECTOR', 'PESSIN, GUSTAVO', 'NETO, ARMANDO ALVES', 'GUSTAVO MEDEIROS FREITAS']","['FERNANDES, RAFAEL (externo)', 'ROCHA, THIAGO LAGES (externo)', 'AZPURUA, HECTOR (externo)', 'PESSIN, GUSTAVO (externo)', 'NETO, ARMANDO ALVES (docente)', 'GUSTAVO MEDEIROS FREITAS (docente)']"
109,A Simulated Environment for the Development and Validation of an Inspection Robot for Confined Spaces,2020,"['CID, ANDRE', 'REZENDE, ADRIANO', 'MIRANDA, VICTOR', 'GUSTAVO MEDEIROS FREITAS', 'PESSIN, GUSTAVO', 'AZPURUA, HECTOR', 'NAZARIO, MATEUS', 'SATHLER, MAURICIO', 'MARTINS, FREDERICO', 'DOMINGUES, JACO', 'DELUNARDO, MARIO', 'ALVES, PAULO', 'TEOTONIO, RODRIGO', 'BARROS, LUIZ GUILHERME']","['CID, ANDRE (externo)', 'REZENDE, ADRIANO (egresso(s/o))', 'MIRANDA, VICTOR (egresso(s/o))', 'GUSTAVO MEDEIROS FREITAS (docente)', 'PESSIN, GUSTAVO (externo)', 'AZPURUA, HECTOR (externo)', 'NAZARIO, MATEUS (externo)', 'SATHLER, MAURICIO (externo)', 'MARTINS, FREDERICO (externo)', 'DOMINGUES, JACO (externo)', 'DELUNARDO, MARIO (externo)', 'ALVES, PAULO (externo)', 'TEOTONIO, RODRIGO (externo)', 'BARROS, LUIZ GUILHERME (externo)']"
110,Algoritmos Genéticos para Determinação da Cinemática Inversa de um Robô de 6DoF,2020,"['ALVES E FARNESE, MATHEUS', 'GUSTAVO MEDEIROS FREITAS', 'PESSIN, GUSTAVO']","['ALVES E FARNESE, MATHEUS (externo)', 'GUSTAVO MEDEIROS FREITAS (docente)', 'PESSIN, GUSTAVO (externo)']"
111,Investigação e Simulação de Sistema Robótico para Automatização da Emenda de Correias Transportadoras,2020,"['FERNANDES SANTOS, LUAN', 'DE BARRROS, LUIZ GUILHERME', 'BRITO RODRIGUES, GUILHERME', 'BRANDAO, PAULO', 'VON PRITZELWITZ, PHILIP', 'GUSTAVO MEDEIROS FREITAS']","['FERNANDES SANTOS, LUAN (externo)', 'DE BARRROS, LUIZ GUILHERME (externo)', 'BRITO RODRIGUES, GUILHERME (externo)', 'BRANDAO, PAULO (externo)', 'VON PRITZELWITZ, PHILIP (externo)', 'GUSTAVO MEDEIROS FREITAS (docente)']"
112,Projeto de uma Bancada Instrumentada para Avaliação de Ferramenta de Corte Rotativa para Preparação de Emenda de Correias,2020,"['DIAS DE BARROS, LUIZ GUILHERME', 'FERNANDES SANTOS, LUAN', 'VON PRITZELWITZ, PHILIP', 'GUSTAVO MEDEIROS FREITAS']","['DIAS DE BARROS, LUIZ GUILHERME (externo)', 'FERNANDES SANTOS, LUAN (externo)', 'VON PRITZELWITZ, PHILIP (externo)', 'GUSTAVO MEDEIROS FREITAS (docente)']"
